,Datatreatment,Y_rec,sd,type,year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,HCI1larv,HCI1pjuv,HCI2larv,HCI2pjuv,ONIpre,ONIlarv,ONIpjuv,PDOlarv,PDOpjuv,LUSIannual,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv
1,Unexpanded PacFIN,-0.0811296,NA,Main_RecrDev,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Unexpanded PacFIN,-0.588992,NA,Main_RecrDev,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Unexpanded PacFIN,-0.28468,NA,Main_RecrDev,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Unexpanded PacFIN,0.118503,NA,Main_RecrDev,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Unexpanded PacFIN,-0.452251,NA,Main_RecrDev,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Unexpanded PacFIN,0.179471,NA,Main_RecrDev,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Unexpanded PacFIN,0.595513,NA,Main_RecrDev,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Unexpanded PacFIN,0.0508196,NA,Main_RecrDev,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Unexpanded PacFIN,0.160862,NA,Main_RecrDev,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Unexpanded PacFIN,0.425757,NA,Main_RecrDev,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Unexpanded PacFIN,-0.173191,NA,Main_RecrDev,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Unexpanded PacFIN,0.703637,NA,Main_RecrDev,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Unexpanded PacFIN,0.770016,NA,Main_RecrDev,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
